fullVisitorId,transactionId,lon,lat
10086689117935218975,s3pl-k76v,-123.2585763,49.264615799999987
10086689117935218975,s6yo-wfes,-123.2585763,49.2646158
10086689117935218975,s7ff-30bw,-123.2585763,49.2646158
10087201592118574360,s9tb-iuym,-73.5820544,45.5362313
10087201592118574360,s9tb-ptew,-73.5820544,45.5362313
10087658613276608141,s3bz-4psq,-79.3655404,43.6495978
10088038507090513603,s3fc-ekbt,-71.2437753,46.7999912
10088479292813635632,s1za-99dd,-123.1712786,49.2579676
10088479292813635632,s1aq-cybr,-123.1712786,49.2579676
10088479292813635632,s2wa-87xd,-123.1712786,49.2579676
1009092354348576799,s3bz-5myg,-79.3820343,43.64789963
1009092354348576799,s6rd-7muf,-79.3820343,43.64789963
1009092354348576799,s9hp-u366,-79.3820343,43.64789963
1009092354348576799,s3bz-5cfs,-79.3820343,43.64789963
1009092354348576799,s7tz-3xwy,-79.3820343,43.64789963
10091194654806625719,s1re-d0v9,-79.3817344,43.6418203
10091194654806625719,s3vh-exgo,-79.3817344,43.6418203
10091458547575484318,s9uf-bvpb,-114.0667872,51.0524639
1009197643123438078,s9ex-tt1y,-79.4243664,43.642313
1009342352502634322,s8is-5th0,-123.0372788,49.2494463
10093558752957146091,s0ld-71kz,-79.4409827,43.701264
1009370533571986164,p2aq-8e5x,-79.3886594,43.6599298
10094161357559939576,s1tp-za8i,-79.3871212,43.645266
10094192106706299729,s6qr-u19t,-123.2371129,49.253845
10094524060919130629,s3mt-ac3b,-79.3707988,43.6522103
10094524060919130629,p2aq-56fw,-79.3707988,43.6522103
10094621570465582328,s7ya-dzzj,-73.5753597,45.5014334
10094621570465582328,e3ng-cili,-73.5753597,45.5014334
10096108055308272488,s6gz-fe5r,-71.201758,46.8155692
10096108055308272488,s6gz-gg9x,-71.201758,46.8155692
10096108055308272488,s9jy-l4gd,-71.201758,46.8155692
10096129487251355616,s1ag-zhhl,-123.1871018,49.2567306
10096129487251355616,s3di-jb1j,-123.1871018,49.2567306
10096338290679070773,s7ki-jmen,-79.4498403,43.6761223
10096338290679070773,j1nq-ceu3,-79.4498403,43.6761223
10096385445650175892,s9ty-mitl,-79.779661199999993,43.591511399999987
10096391289079254003,s2pd-6hiu,-73.5572978,45.5027421
10096391289079254003,s7ya-z6ny,-73.5572978,45.5027421
10097056334913313002,s5dn-tnxm,-79.3305285,43.6662282
10098172674803733153,s1bn-adgb,-79.6161262,43.615507099999988
10098322679081036729,s1zq-cdun,-79.39247894,43.65633392
10098322679081036729,s9sv-3x9c,-79.39247894,43.65633392
10098686597072124132,s0gk-lbxd,-73.573094,45.5076145
10098686597072124132,s0gk-p9xj,-73.573094,45.5076145
10099628868569456073,s9hp-7ia0,-79.4024489,43.6736345
10100061586694390160,s2hu-qxe8,-123.0238302,49.2330787
10100061586694390160,s2hu-je5t,-123.023788,49.2330102
10100061586694390160,s1vj-2ja8,-123.023788,49.2330102
10100130032697677797,s7ay-ftig,-79.4342938,43.6408559
1010059671844190726,s1za-3f8d,-123.2540229,49.2652578
10100745748222065850,s3fc-j2o1,-71.2299805,46.80582
10100745748222065850,s3fc-51on,-71.2299805,46.80582
10101855956019926829,s9wy-f1an,-79.4107253,43.6414689
10102020878604464977,a3ec-ctjm,-79.4356805,43.6353921
10102538644580632168,s1fs-5i1a,-79.4025206,43.642307
10104093777123435295,s5uo-a378,-71.2301682,46.8092088
10104099847076428231,s1kp-9j7n,-113.5396229,53.6074715
10104099847076428231,s1kp-48fy,-113.5396229,53.6074715
10104099847076428231,s1kp-f1r7,-113.5396229,53.6074715
10104687849429394978,s8vk-rqdg,-79.6615585,43.5457711
10105434126295509775,s0hn-p2mn,-73.5643042,45.4619294
10105434126295509775,s9sr-lfm0,-73.5643042,45.4619294
10105592261932450907,s4jx-nh8w,-79.4921608,43.6623517
1010597586254397142,s4bs-90he,-113.5182316,53.5186238
10105998102680406820,s9ex-xafq,-79.42032623,43.65664673
10106127441488579880,s3qs-w0b7,-73.6231787,45.5410381
10106160722344685762,s9ex-1ne8,-79.4134683,43.6419033
10106160722344685762,s9el-hggw,-79.4134683,43.6419033
10106407603226956016,s8zi-t2a8,-73.580986299999992,45.4950964
10106407603226956016,s8zi-aut1,-73.580986299999992,45.4950964
10106407603226956016,s8zi-p77s,-73.580986299999992,45.4950964
